日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
廣告,Foodomo Android Developer 開發工程師,foodomo_專聯科技股份有限公司,台北市信義區,待遇面議,1. 負責公司Android APP開發及更新維護2. 獨立完成產品相關的設計、開發和測試工作，規劃程式架構，並依需求不斷更新3. 根據視覺設計及PM提供的材料能夠優化產品的用戶操作體驗4. 理解版本控制更新機制，熟悉版本發佈和測試流程. 需獨立開發項目並完成APP送審上架6. 完成主管交辦事項*有獨立完成工作及溝通的能力。*熟知 APP 發布流程方式及規定。,台北市信義區,3年以上,大學,,7bsj6,www.104.com.tw/job/7bsj6?jobsource=hotjob_chr
廣告,Software Engineer (Innovus),愛爾蘭商益華科技股份有限公司,新竹市力行六路二號,待遇面議,"This is a software engineering position in Optimization and Flow team of Cadence’s Innovus product. The key R&D group is responsible for timing and power optimization, and flow convergence.  Innovus is the premier physical design solution used by a variety of chip manufacturing companies such as mobile,  automotive , CPU & GPU cores, & AI.  The work done in this high-performance team has a huge impact on the chip industry and products used in daily life.We are looking for talented candidates with strong background in electronic design automation (timing, power analysis, optimization), and excellent software engineering skills, experience with multithreaded and distributed optimization.  We are looking for individuals that can make the next breakthrough in the technology that we provide to the customers, making big impact to the industry.The successful candidate will possess the following combination of education and experience:• MS in Computer Science or Electrical Engineering, PhD is preferred• Proficient in C/C++• Excellent programming and software engineering skills• Experience with UNIX and/or LINUX platforms is preferred• Strong knowledge of Tcl is preferred• Experience with multithreaded and/or distributed programming is preferred• Prior experience with large software development projects is highly recommended• Prior experience with timing analysis/optimization software development projects is highly recommended• Strong ability to learn• Strong analysis and problem-solving skills• Good communication skill is preferred as the development team is distributedMost importantly, we are looking for hard working, innovative engineers who enjoy working with a great team in a high-performance culture.",新竹市,7年以上,大學,外商公司,7g8ps,www.104.com.tw/job/7g8ps?jobsource=hotjob_chr
廣告,Angular / JAVA / Native APP 軟體工程師,資旅軟體開發有限公司,高雄市三民區,"55,000","我們需要會以下其中兩至三種編程 Angular, SCSS, Typescript, JAVA, Native APP, html5 , MSSQL 的工程師, 並用願意跟我們團隊學習 Spartacus and Hybris, 及編寫 impex .可在家工作, 每天需完成指定工作目標及內容期待有興趣編程 Angular / JAVA 或 Native APP 的你加入我們",高雄市三民區,經歷不拘,專科,員工23人,7fisp,www.104.com.tw/job/7fisp?jobsource=hotjob_chr
廣告,第三屆T大使募集： 數位行銷領域人才(南部地區),【企業專案招募】104未來無限整合招募中心,高雄市苓雅區,0~40,時下最火數位能力大躍進，20週培訓完全0費用，由專家帶領實作，助您取得數位轉型實戰經驗！【申請資格】(具備本國籍，可接受20週訓練期，每周訓練天數依不同實作場域而定)★應屆畢業生：111年6月畢業之教育部立案大專院校以上學歷★職場新手：108年後畢業之教育部立案大專院校以上學歷(108-111年大專院校以上畢業，目前就讀研究所亦可參加)【計畫優勢】改寫你的未來◆企業導師帶領各領域業師無私傳承，以小組方式循環漸進帶領青年前進。◆實戰成果產出理論與實務並進，企業合作落實數位轉型實作案，累積實戰經驗。◆實作獎勵與考照補貼獎勵金高達10.9萬，且能獲得6仟元國際證照考照補助。◆T大使證書完成培訓且通過評核，將頒發證書，並進入T大使人才庫，暢通求職路。【培訓項目】依需求選擇學習模式★企業專班—基礎培訓1週+企業實作19週，適合已有專業基礎者★主題學院—基礎培訓1週+主題培訓&企業實作19週，適合無專業基礎想要跨域學習者【培訓方式】依青年錄取條件與志願安排實作場域：團隊共識活動、線上課程、實體研討、轉型企業實作等活動。(最終培訓內容將由主辦單位協調安排),高雄市苓雅區,經歷不拘,專科,,7i8qp,www.104.com.tw/job/7i8qp?jobsource=hotjob_chr
廣告,SECURITY FIRMWARE ENGINEER(113242),美商超微半導體股份有限公司台灣分公司,台北市南港區園區街3號6樓,待遇面議,"THE ROLE:AMD's Client Firmware Engineering team is looking for a dynamic, self-motivated, experienced security firmware engineer to develop and debug firmware solutions for AMD’s proprietary security processor embedded within the AMD System on Chip (SoC) designs.  THE PERSON:Must have the following experience to be considered for the role: C or C++ proficiency OR experience with ARM-based designs, and sound analytical skills to ensure robust AMD Security Processor firmware solutions.  ",台北市南港區,5年以上,大學,外商公司,7alh2,www.104.com.tw/job/7alh2?jobsource=hotjob_chr
廣告,CAD-MES資深工程師,泉創生醫有限公司,新北市汐止區新北市汐止區新台五路一段93號20樓/99號35樓,待遇面議,70% MES管理+程式開發，20% UOF客制程式開發，10% 其他事項1. 負責資通CIMES，含設定、管理、教育訓練、客制開發報表與程式2. 需可緊急支援產線系統異常處理3. 需支援公司其他系統客制開發需求4. 完成主管交辦事項※面試後，依學、經歷核定任用職務與薪資※,新北市汐止區,3年以上,大學,員工300人,7dpwa,www.104.com.tw/job/7dpwa?jobsource=hotjob_chr
廣告,iOS App 工程師,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,台北市內湖區舊宗路一段287號(內湖好市多正對面),"55,000",1. 負責iOS App開發、測試與上架2. 配合各類後台API串接開發與資料庫應用3. 規劃執行軟體架構及模組之設計，並控管開發進度4. 錯誤修復和提高應用程序性能. 其它主管交辦事項。《此職缺享有固定性年終獎金》,台北市內湖區,2年以上,大學,員工1400人,7gz66,www.104.com.tw/job/7gz66?jobsource=hotjob_chr
廣告,第三屆T大使募集： 智慧製造領域人才(中部地區),【企業專案招募】104未來無限整合招募中心,台中市中區,0~40,時下最火數位能力大躍進，20週培訓完全0費用，由專家帶領實作，助您取得數位轉型實戰經驗！【申請資格】(具備本國籍，可接受20週訓練期，每周訓練天數依不同實作場域而定)★應屆畢業生：111年6月畢業之教育部立案大專院校以上學歷★職場新手：108年後畢業之教育部立案大專院校以上學歷(108-111年大專院校以上畢業，目前就讀研究所亦可參加)【計畫優勢】改寫你的未來◆企業導師帶領各領域業師無私傳承，以小組方式循環漸進帶領青年前進。◆實戰成果產出理論與實務並進，企業合作落實數位轉型實作案，累積實戰經驗。◆實作獎勵與考照補貼獎勵金高達10.9萬，且能獲得6仟元國際證照考照補助。◆T大使證書完成培訓且通過評核，將頒發證書，並進入T大使人才庫，暢通求職路。【培訓項目】依需求選擇學習模式★企業專班—基礎培訓1週+企業實作19週，適合已有專業基礎者★主題學院—基礎培訓1週+主題培訓&企業實作19週，適合無專業基礎想要跨域學習者【培訓方式】依青年錄取條件與志願安排實作場域：團隊共識活動、線上課程、實體研討、轉型企業實作等活動。(最終培訓內容將由主辦單位協調安排),台中市中區,經歷不拘,專科,,7i8s6,www.104.com.tw/job/7i8s6?jobsource=hotjob_chr
廣告,JAVA程式設計師,聯強國際股份有限公司,台北市中山區民生東路三段75號,"42,000",【2021菁英計劃】於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。1.負責前端、後端系統開發與維護。2.應用系統模組化設計、開發、測試。3.個性主動積極，具團隊合作精神。,台北市中山區,經歷不拘,大學,上市上櫃,2buxq,www.104.com.tw/job/2buxq?jobsource=hotjob_chr
廣告,"業務專案經理 / 邏輯與溝通佳,具備企劃提案能力/接案獎金另計",樂活多媒體有限公司,台北市中正區羅斯福路四段162號4樓,"33,000","1. 預估專案工作時程、擬定專案執行計畫、資源和風險評估管理、成本控管等等。 2. 帶領專案團隊，協助專案的規劃、規格制定、執行和管控、排除風險。 3. 管控專案進度，確保專案符合時程規劃進行，定義產品規格、功能操作流程、技術文件.教學文件等相關文件產出。 4. 訪談客戶需求、設計操作Layout及規格文件撰寫。 . 客戶與跨單位的溝通協調,以及需求訪談。6.定期回報專案進度、檢討專案執行狀況、功能測試、提出問題解決方案與優化產品提案並執行與驗收。7.管理開發團隊(包含QA)並確保高標準的專案產出，制定適當的風險控制措施，以 確保可交付的成果. 8.處理網站諮詢與問題排除以及交付任務,以及專案紀錄。9.負責企劃案或文案之撰寫、規劃、提案，籌備、執行、結案，協助公司及客戶進行品牌形象設定及設計方向之確認。 10.官網與社群網站基本經營、維護以及優化網路在自然排序的搜尋。具備創意與執行力，喜愛與人互動，善用文字能力，能獨立撰稿、發想文宣。11.網站動線規劃能力、具網站企劃能力、UX用戶體驗優化。12.SEO關鍵字廣告操作、分析、成效評估及改善計畫執行；應用Google Analytics做流量預估、報表整理、成效回饋；對數字敏感度高。加分條件：1.資管/資工背景以及具有2年以上軟體RD/SA/PM工作經驗,對相關技術有一定程度的認識，例如HTML/CSS/JavaScript/PHP/MySQL ,具備良好的Coding習慣及技術文檔編寫能力.2.PMP（Project Management Professional）證照 [個人特質] 1. 主動積極 ,細心負責、開朗樂觀 2. 樂於自主學習、應用新知 3.對科技保持好奇心,熱血、有理想!<不具以上特質勿試>PS.接案獎金另計！我們的薪資依據您的能力與態度來決定，過程中您的能力表現與自我要求、責任感等都會評估在薪水上。公司位於台大公館，是生態與人文薈萃的地方。有捷運、公車可搭乘，交通很便利，環境很舒服。我們公司的官網：https://lohaslife.cc讓我們一起共織夢想，一起在這像家一樣的團隊彼此分享喜怒哀樂^^",台北市中正區,2年以上,大學,員工13人,5q2k6,www.104.com.tw/job/5q2k6?jobsource=hotjob_chr
2/16,Software Engineer (EDA) 軟體工程師,至達科技股份有限公司,新竹市關新路27號14樓之6,"1,500",歡迎電子設計自動化(EDA)背景，對 C++ 大型軟體開發有興趣的工程師加入至達科技。1. EDA 核心演算法開發。包含    floorplanning    placement    RTL & physical,新竹市,經歷不拘,碩士,員工20人,77y3h,www.104.com.tw/job/77y3h?jobsource=jolist_d_relevance
1/24,後端軟體工程師 Backend software engineer,新加坡商異域資訊有限公司台灣分公司,台北市中山區北安路780號6樓之五,"630,000",TravelSkope 是台灣的旅遊科技軟體公司，我們提供航空公司、旅遊產業的軟體解決方案與自行經營的企業差旅 SaaS 產品。我們鼓勵工程師嘗試新的技術，寫出可持續維護的高品質程式碼，規劃彈性、可擴充的系統架構。在公司，每個員工有較大的自主,台北市中山區,經歷不拘,學歷不拘,員工30人,71ehw,www.104.com.tw/job/71ehw?jobsource=jolist_d_relevance
2/08,軟體工程師 Software Engineer,資康軟體開發有限公司,台北市中正區北平東路16號12樓之1,"46,000",- 使用PHP作為主要程式語言進行系統設計與開發- 系統異常時的問題排除- 發展並維護技術文件- 研究並導入新的軟體技術- 整合第三方套件以解決商業問題【待遇保障】年薪保障至少13個月【必要條件】- 熟悉PHP,台北市中正區,1年以上,大學,員工25人,7fapg,www.104.com.tw/job/7fapg?jobsource=jolist_d_relevance
2/15,軟體工程師 (Software Engineer),(瑞典商)惠通科技股份有限公司,新北市新店區北新路三段213號14樓(新店矽谷2期),待遇面議, Industrial Media Converter• Industrial Computer & Serial Server & I/O• Network Management Software【Key Objectives】This,新北市新店區,經歷不拘,大學,外商公司,7aztu,www.104.com.tw/job/7aztu?jobsource=jolist_d_relevance
2/14,軟體工程師,元赫科技股份有限公司,台北市中山區,"30,000",1.因公司擴編，誠徵有能力工程師，薪優。2.負責軟體之分析、設計以及程式撰寫。3.規劃執行軟體架構及模組之設計，並控管軟體設計進度。4.進行軟體之測試與修改。.具關連式資料庫概念，熟SQL語法尤佳。6.具備軟體開發設計及網頁,台北市中山區,1年以上,專科,,3tvpw,www.104.com.tw/job/3tvpw?jobsource=jolist_d_relevance
2/10,軟體工程師,球據智能運動數據分析有限公司,台北市大安區基隆路二段172-1號11樓,待遇面議,軟體設計工程師1. 負責軟體之分析、設計以及程式撰寫。2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。3. 進行軟體之測試與修改。4. 規劃、執行與維護量產的產品。. 協助研發軟體新技術與新工具。6. 管控軟體開發成本。,台北市大安區,經歷不拘,大學,員工5人,7iune,www.104.com.tw/job/7iune?jobsource=jolist_d_relevance
1/07,Software Engineer 軟體工程師,SuDo_蘇度科技有限公司,台北市信義區忠孝東路5段68號29樓,"1,200",願意接受挑戰， 你有機會晉升到公司的任何一個位階。只要你認同公司的目標并且跟著我們一起朝著目標努力，你就會得到公司的支持，給與你發揮的舞台！▋工作內容依據公司需求進行軟體專案開發，具體內容據當前開發需求而定。目前主要為・ 開發公司內部分,台北市信義區,經歷不拘,學歷不拘,員工20人,7focv,www.104.com.tw/job/7focv?jobsource=jolist_d_relevance
2/14,軟體工程師,彩富電子股份有限公司,台北市內湖區洲子街116號(114),待遇面議,工作內容：作為產品工程設計團隊的一員，軟體工程師，須與大家一起驅動新產品的開發，工作重點放在嵌入式系統軟體設計與開發。主要負責：	1. Embedded System Software 設計與開發2. Streamming,台北市內湖區,經歷不拘,大學,上市上櫃,e5i,www.104.com.tw/job/e5i?jobsource=jolist_d_relevance
2/14,Embedded Software Engineer 資深軟體工程師 -台中,美商迪爾亞科技股份有限公司台灣分公司_D2 Technologies Inc.,台中市西屯區,待遇面議,工作內容：	The Software Engineer will develop software platforms of signaling protocols and voice/video signal processing (,台中市西屯區,3年以上,大學,外商公司,7h2z1,www.104.com.tw/job/7h2z1?jobsource=jolist_d_relevance
2/08,軟體工程師,雄獅資訊科技股份有限公司,台北市內湖區石潭路151號,待遇面議,為了滿足雄獅集團跨國全球化的發展，雄獅資訊致力建置集團與關係企業入口網站與整合性管理資訊系統。雄獅資訊依據同仁專業能力分派合適專案類型，專案工作總覽如下：(1) 協助全集團網站(Web、Mobile)前端網頁架構、後端產銷流程等功能開發/維運。(2) 協助全集團網站與管理資訊系統之API開發、維護與對接。(3) 協助集團內總管、產品、通路、行銷之內部整合性管理資訊系統開發/維運。(4) 透過學習產業/標準Know-How、搜集資料、與開發團隊討論，達成資訊系統解決方案共識，進而打造管理資訊系統。,台北市內湖區,1年以上,專科,員工206人,4yy7q,www.104.com.tw/job/4yy7q?jobsource=jolist_d_relevance
2/09,軟體工程師,鴻璟科技股份有限公司,新竹市力行一路1號1樓 C6,待遇面議,研發企業級 Deep Packet Inspection 內容管理引擎。研發 Pattern-Match 晶片 Linux 驅動程式。研發 Embedded System 網路程式及測試工具。研讀 Networking 通訊協定。研讀網路攻擊防禦相關報告。參與專案管理與功能規劃 (英、日語精通者佳)。,新竹市,經歷不拘,大學,員工50人,2v8qu,www.104.com.tw/job/2v8qu?jobsource=jolist_d_relevance
2/14,前端軟體工程師,瑞保網路科技股份有限公司,台北市松山區南京東路三段287號5樓之一,待遇面議,- 以使用者需求驅動，與團隊成員一起優化系統，讓每一項優化帶動更高轉換、更高成長率 - Self-motivated、享受突破困難解決問題的快感 - 自我要求高，把事情交給你就對了 前端軟體工程師 1. 基於Laravel、Vue,台北市松山區,1年以上,大學,距捷運南京復興站220公尺,5p124,www.104.com.tw/job/5p124?jobsource=jolist_d_relevance
2/15,軟體工程師,芯測科技股份有限公司,新竹縣竹北市台元一街6號7樓之5,待遇面議,1.負責軟體之設計、優化與測試。2.需硬體工程師配合，並協助產品售後技術支援。3.熟悉Python及IC Design Flow者尤佳。4.具IC驗證經驗者尤佳。,新竹縣竹北市,3年以上,大學,,67ied,www.104.com.tw/job/67ied?jobsource=jolist_d_relevance
2/14,軟體工程師 Software Engineer,甲尚股份有限公司,新北市新店區寶橋路235巷126號2樓,待遇面議, 切磋琢磨，RD 不只是 RD，你是視覺團隊的理性實踐者! 1. 加入產品開發團隊，開發2D/3D動畫相關軟體產品或共用模組。2. 進行新技術研究，並將研究成果實踐至各創新產品中。3. 透過持續優化的產品開發循環，與不同屬性的團隊共同進行研發,新北市新店區,經歷不拘,大學,員工200人,2gr2o,www.104.com.tw/job/2gr2o?jobsource=jolist_d_relevance
2/17,軟體工程師,九驊科技股份有限公司,新竹縣竹北市台元街26號5樓之10,待遇面議,1.光學檢測演算法及生產設備軟體設計開發2.現有量測設備軟體功能新增與優化3.支援客服人員新機導入生產使用,新竹縣竹北市,1年以上,大學,,75ybo,www.104.com.tw/job/75ybo?jobsource=jolist_d_relevance
1/25,軟體開發工程師,金旭資訊股份有限公司,台北市松山區八德路三段二十號七樓之四,"30,000",Windows、Web 、 App 程式設計師,台北市松山區,經歷不拘,專科,員工40人,74kte,www.104.com.tw/job/74kte?jobsource=jolist_d_relevance
2/14,軟體工程師,睿宏醫聯股份有限公司,台北市大安區芳蘭路49號9樓,"45,000",1.	產品開發/測試與規格文件撰寫2.	客戶諮詢服務及客戶問題處理(技術性)3.	電子白板維運與開發4.	Pyxis 智慧藥櫃系統維運與開發.	Apoteca 化療手臂系統維運與開發,台北市大安區,3年以上,大學,員工18人,7i2rk,www.104.com.tw/job/7i2rk?jobsource=jolist_d_relevance
2/13,軟體工程師,那一間科技有限公司,高雄市苓雅區海邊路31號24樓,"35,000",【專業需求】一年以上的開發經驗必要項：c# winform 、nodejs 資料庫：熟用mssql or MySQL 加分項：熟用mongodb 、封包抓取、資安檢測※相關開發資歷較少或專業需求未完全符合者，薪資將另行面議。【培育激勵】績效獎金發放，每階段都有所收穫。其他:獎金皆依據公司營運及人員年資、表現發放,高雄市苓雅區,經歷不拘,學歷不拘,,7i5gk,www.104.com.tw/job/7i5gk?jobsource=jolist_d_relevance
2/16,軟體開發工程師,捷廣系統整合股份有限公司,桃園市蘆竹區經國路896號10樓,"30,000",軟體工程師工作內容1. 具程式設計開發經驗.2. 熟 C#、Java、SQL、 API 佳＊1年以上相關工作經驗。  ＊具思慮清晰可獨立工作，並有良好的團隊工作精神及溝通能力者佳。 ＊本職務須可自我管理，並對工作有高度責任感。 ＊具備,桃園市蘆竹區,1年以上,大學,,6asiz,www.104.com.tw/job/6asiz?jobsource=jolist_d_relevance
2/14,軟體工程師,奕微科半導體科技股份有限公司,新竹市新竹科學工業園區研新二路1號5樓,待遇面議,1. 網站前後端功能開發及維護2. Web API / Service 開發3. 資料庫架構設計與維護4. 異質系統與服務的整合. 企業管理系統開發6. 日常維運及異常狀況排除7. 瞭解專案需求客製化與系統日常支援,新竹市,經歷不拘,大學,,7epfb,www.104.com.tw/job/7epfb?jobsource=jolist_d_relevance
2/14,軟體工程師,思克軟體科技有限公司,台中市北屯區,"30,000",【工作內容】1.自動化設備軟體開發2.視覺檢測與辨識3.設備與資料庫連線4.PC軟體與PLC連線應用您心中的軟體工程師是否坐在冷氣房撰寫著主管交代的功能那思克的軟體工程師比您想像的辛苦多了我們的軟體工程師需要很強的抗壓性、與團隊,台中市北屯區,經歷不拘,專科,員工5人,7dkdt,www.104.com.tw/job/7dkdt?jobsource=jolist_d_relevance
2/14,軟體工程師,昇士達科技股份有限公司,桃園市龜山區萬壽路一段634巷2之5號,待遇面議,工業4.0資料收集系統開發* 數據管理及分析* log管理* 工業設備通訊整合* 資料庫開發與管理* 相關文件撰寫               ,桃園市龜山區,經歷不拘,專科,員工30人,6okx1,www.104.com.tw/job/6okx1?jobsource=jolist_d_relevance
2/15,軟體工程師,三愛耐特國際股份有限公司,桃園市桃園區正光路423號之5，2樓,待遇面議,軟體設計工程師1. 負責軟體之分析、設計以及程式撰寫。2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。3. 進行軟體之測試與修改。4. 規劃、執行與維護量產的產品。. 協助研發軟體新技術與新工具。6. 管控軟體開發成本。,桃園市桃園區,經歷不拘,專科,員工10人,7hg4o,www.104.com.tw/job/7hg4o?jobsource=jolist_d_relevance
10/06,數據庫軟體工程師,美鉅股份有限公司,台中市大肚區沙田路三段245巷81號,"30,000",軟體設計工程師1.負責軟體之分析、設計以及程式撰寫。2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。3.進行軟體之測試與修改。4.規劃、執行與維護量產的產品。.協助研發軟體新技術與新工具。Internet程式,台中市大肚區,經歷不拘,專科,員工50人,6j2e5,www.104.com.tw/job/6j2e5?jobsource=jolist_d_relevance
2/14,軟體工程師,天方科技實業股份有限公司,台中市南屯區萬和路一段37號(408),"25,500","1. 程式撰寫、維護。2. JSP, JavaScript, HTML 5, CSS。3. 懂 vue.js 或 ASP.NET 尤佳。",台中市南屯區,經歷不拘,專科,員工40人,2ygn4,www.104.com.tw/job/2ygn4?jobsource=jolist_d_relevance
2/03,軟體工程師,南方科技股份有限公司,新北市汐止區新台五路一段95號18樓-1,待遇面議,"開發流程，檢測韌體產品6.與硬體及軟體工程師溝通配合，提供開發所需要的軟韌體支援7.提供底層驅動程式, 配套應用程式，進行軟體整合與Release8.進行演算法的設計，使程式設計人員使用更方便9.研究改良演算方法，使演算法的結構更健全、提高",新北市汐止區,經歷不拘,大學,,78064,www.104.com.tw/job/78064?jobsource=jolist_d_relevance
2/15,Software Engineer 軟體工程師,寶視納股份有限公司,新竹縣竹北市莊敬北路160號,待遇面議,"、C、Qt 開發或修改相機之功能(Java, .Net, C# nice to have)2. 設計及開發產品測試及支援軟體或元件3. 設計及開發產品在Linux及Windows環境中的操作介面4. 開發以Linux及Windows為工作環境",新竹縣竹北市,2年以上,大學,外商公司,7cuxh,www.104.com.tw/job/7cuxh?jobsource=jolist_d_relevance
2/15,軟體工程師,LYC株式会社,日本東京都千代田区岩本町3-3-3サザンビル3階,"60,000","工作地点在日本东京，進駐日本各大手企業公司進行軟體的设计，開發，測試为主的工作,技术经验丰富者不会日语也可以考虑，公司有日语好的前辈可以带着工作，当然会日语者，英语者优先考虑。",日本,2年以上,專科,員工95人,66ytr,www.104.com.tw/job/66ytr?jobsource=jolist_d_relevance
2/14,Senior Software Engineer 資深軟體工程師(C#),瑞莫科技有限公司,台北市松山區,"1,000",• 依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。• 整合網站應用程式至資料庫導向或 API 導向的後台系統。• 開發、改善所有軟體產品，並提供維護所需的所有必要文件。,台北市松山區,3年以上,大學,員工60人,7dvcb,www.104.com.tw/job/7dvcb?jobsource=jolist_d_relevance
2/16,JAVA軟體工程師,運籌網通股份有限公司,桃園市桃園區中正路1088號8樓,"700,000","1. GLORY Cloud Platform 是台灣最大物流雲平台, 熱情邀約有志於打造世界級軟體的工程師加入運籌網通。2. 需熟悉JAVA IDE相關軟體開發工具。3. 需熟悉Web開發Framework，如Struts、Spring、",桃園市桃園區,2年以上,大學,員工41人,7c5hw,www.104.com.tw/job/7c5hw?jobsource=jolist_d_relevance
2/15,軟體工程師,鴻勁精密股份有限公司,台中市大雅區中清路三段758巷7號,"25,250",1.自動化機械軟體撰寫。 2.熟悉BCB。 3.熟悉機械視覺尤佳。 ,台中市大雅區,1年以上,大學,員工280人,77fr9,www.104.com.tw/job/77fr9?jobsource=jolist_d_relevance
2/16,軟體工程師 Software Engineer,榮利科技股份有限公司,台北市松山區民生東路四段133號3樓之5,"35,000","1. 有前端框架開發(Vue 或 Angular)架構經驗及熟悉HTML5/CSS3/Javascript 技術.2. 有後端JAVA平台框架開發(Sprint Framework,Spring Boot,Spring Cloud)經驗.3. 具備 API 串接經驗.4. 熟悉SQL資料庫操作與概念.. 了解Git版控工具操作與概念.6. 對雲端開發運算技術(CNCF/DevOps)有熱忱者.7. 具備一年以上程式開發之工作經驗",台北市松山區,1年以上,大學,員工70人,745rd,www.104.com.tw/job/745rd?jobsource=jolist_d_relevance
2/17,Backend Software Engineer | 後端軟體工程師 (C或Java),一通數位有限公司,台北市內湖區瑞光路288號七樓,"70,000","1. 網站功能開發，並維護和優化網站現有模組功能。2. 支援其他專案開發及規劃。3. 技術文件撰寫。4. 協助新的技術、工具或應用的研究與導入評估。【必要條件】1.二年以上後端工作經驗2.通JavaScript、C++、Java 等任一語言。3.需有完整參與專案的經驗4.對於以下技術有使用經驗（MySQL, Redis）.自主性強可獨立作業6.具備系統設計經驗7.良好的溝通表達及協調能力8.良好的演算法、網路相關、系統架構、多線程開發、Web服務、REST等知識【加分條件】1.具全端開發經驗優2.容器化相關知識3.大型分布式系統、微服務 工作經驗優4.k8s或docker 使用經驗",台北市內湖區,2年以上,大學,員工20人,7hsss,www.104.com.tw/job/7hsss?jobsource=jolist_d_relevance
2/14,軟體工程師( Software Engineer),賽微科技股份有限公司,新北市新店區中興路二段188號8樓,"35,000","我們是一家高度成長且穩定獲利的語音技術公司, 正在擴大招募優秀人才, 一同開發出更好的產品. 如果您具有良好的邏輯思考及程式開發能力, 歡迎加入我們!1. 至少非常熟悉以下一項程式語言: C, C++, Java, Golang 2. 有網路應用系統, 手機應用系統或是雲端系統開發經驗.3. 喜歡挑戰困難, 善於解決問題.",新北市新店區,經歷不拘,大學,員工50人,64k6b,www.104.com.tw/job/64k6b?jobsource=jolist_d_relevance
2/14,軟體工程師,耐特資訊股份有限公司,台中市西區臺灣大道二段573號9樓H室,待遇面議,畢業6、可獨立或與團隊合作，工作態度積極、負責，能配合公司出差規定。7、具有高度自我管理能力者發展遠景：期待提供更多工業物聯網/軟體開發/軟體服務平台的軟體發展，也能成為更多合作夥伴最佳的技術提供商成就樂趣：公司以軟體開發/研發為主,台中市西區,1年以上,專科,遠端工作,6q5la,www.104.com.tw/job/6q5la?jobsource=jolist_d_relevance
2/16,.net軟體工程師<MVC>,雙子數位科技有限公司,台北市內湖區,待遇面議,嗨～～哈囉～你是本公司要找的.NET軟體工程師高手嗎?就是你！別懷疑！！徵的就是你～本公司需要有在ASP.NET / C#實務上2-3年以上開發經驗的你唷～此職缺的職務內容:• 負責系統架構之分析、設計以及程式撰寫，資料庫設計與,台北市內湖區,4年以上,專科,,6ptg3,www.104.com.tw/job/6ptg3?jobsource=jolist_d_relevance
2/15,後端軟體工程師,台灣糧品股份有限公司,台北市士林區忠誠路二段78號 ,待遇面議,目前以golang 為底 主要架構都在 GOOGLE GCP 上也利用各種方式將 地端資料 mqtt 與 雲端資料互動並進行 api開發 與 前端工程師 協同工作進行 公司運行的幾個專案1. 動物醫院管理,台北市士林區,經歷不拘,學歷不拘,員工20人,7b9pf,www.104.com.tw/job/7b9pf?jobsource=jolist_d_relevance
2/10,軟體開發工程師,波阿斯智能股份有限公司,台中市潭子區和平路41號,"45,000",1.熟悉Mysql或 SQL Server，能掌握常規操作命令，進行日常維護。2.具影像影音處理經驗者佳。3.軟體系統及APP開發，分析、設計以及程式撰寫。4.專案規劃執行軟體架構及模組之設計，並控管軟體設計、開發、測試進度。.管控軟體,台中市潭子區,5年以上,專科,員工9人,7hn4y,www.104.com.tw/job/7hn4y?jobsource=jolist_d_relevance
2/11,JAVA軟體工程師,自然互動科技股份有限公司,台北市中山區建國北路2段82號5樓,待遇面議,"工程師、系統規劃師溝通及協作- 依據產品需求及系統設計規劃,實作系統程式開發,測試及上線- 接觸新事物、新觀念、提升技術水準並與其他同仁共享與討論職務技能需求- 具備一年以上Java軟體開發經驗。- 責任心強，具備溝通及團隊",台北市中山區,經歷不拘,專科,員工33人,7d68t,www.104.com.tw/job/7d68t?jobsource=jolist_d_relevance
2/14,軟體開發工程師,致富寶股份有限公司,台北市內湖區新明路,"490,000",1.歡迎肯學習具企圖心之新鮮人。2.負責程式撰寫，對以下其中一種有興趣或熟悉   使用C#開發網頁或應用程式，   或使用JAVA開發後台網路應用程式，   或使用JAVA開發IOT應用程式。3.維護產品與專案。4.協助研發軟體新技術,台北市內湖區,經歷不拘,大學,員工15人,5ijap,www.104.com.tw/job/5ijap?jobsource=jolist_d_relevance
2/17,Software Engineer 軟體工程師,醫乘智慧有限公司,台北市信義區信義路五段,待遇面議,"Job Overview:	The role requires the ability to develop software for data manipulation, visualization, and evaluation in",台北市信義區,3年以上,大學,,7e86o,www.104.com.tw/job/7e86o?jobsource=jolist_c_relevance
2/14,Software Engineer / 軟體工程師,生德奈生物科技股份有限公司,台北市信義區,待遇面議,Your Challenges:1. Design and develop software for the next generation of microbioreactor instruments.2. Work with the,台北市信義區,3年以上,大學,外商公司,7cgs5,www.104.com.tw/job/7cgs5?jobsource=jolist_c_relevance
